Unique_ID,Taxa,Species,x_g,y_g,Reference,Group,Order,Family,Genus,Notes
1602,Protist,Keronopsis rubra,7.11E-08,1.32353E-05,Rose & Caron 2007,Protist,Stichotrichida,Keronidae,Keronopsis,
1603,Protist,Lacrymaria marina,5.7E-09,1.35233E-06,Rose & Caron 2007,Protist,Haptorida,Lacrymariidae,Lacrymaria,
1604,Protist,Litonotus lamella,5.7E-09,2.93351E-06,Rose & Caron 2007,Protist,Pleurostomatida,Litonotidae,Litonotus,
1605,Protist,Lohmanniella spiralis,0.00000015,0.000114428,Rose & Caron 2007,Protist,Choreotrichida,Lohmanniellina,Lohmanniella,
1606,Protist,Loxocephalus plagius,3.31E-08,0.000014377,Rose & Caron 2007,Protist,Philasterida,Loxocephalidae,Loxocephalus,
1607,Protist,Mayorella sp.,5.58E-09,2.74955E-06,Rose & Caron 2007,Protist,Dactylopodida,Paramoebidae,Mayorella,
1608,Protist,Metachaos sp.,1.15E-08,5.16293E-06,Rose & Caron 2007,Protist,Tubulinida,Amoebidae,Metachaos,
1609,Protist,Monas sp.,3.4E-11,4.54206E-08,Rose & Caron 2007,Protist,,,Monas,
1610,Protist,Monosiga ovata,6.2E-11,3.96025E-08,Rose & Caron 2007,Protist,Choanoflagellida,Codonosigidae,Monosiga,
1611,Protist,Monosiga sp,2E-11,2.1024E-08,Rose & Caron 2007,Protist,Choanoflagellida,Codonosigidae,Monosiga,
1612,Protist,Ochromonas sp.,1.56E-10,2.45981E-07,Rose & Caron 2007,Protist,Chromulinales,Chromulinaceae,Ochromonas,
1613,Protist,Olisthodiscus luteus,1.15E-09,3.39998E-07,Tang 1995,Protist,,,Olisthodiscus,Temp: 15 deg C
